"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK__61_Arduino_31_COMPLETE_work.nlogo"
"experiment_centroid_links_mutated"
"07/04/2022 22:22:54:352 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","mean [ state ] of turtles with [ breed = clients ]","mean [ state ] of turtles with [ breed = service-providers ]","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y","count links"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","10","2.6710526315789473","4","0.11791666666666667","false","0.45500000000000007","0.5375","-0.9599030770629463","-0.8230475963261249","41"
"4","1.5","1","false","80","10","true","false","7","undirected","0.05","10","3.3421052631578947","3.25","0.14166666666666666","false","0.3700885418220383","1.2875","0.0017231164334267745","-0.06950621219709871","37"
"7","1.5","1","false","80","10","true","false","7","undirected","0.05","10","2.8289473684210527","3.25","0.09708333333333333","false","0.4561013101691699","2.7375","-0.8544441642469675","-0.3985998419315635","54"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","10","2.3552631578947367","2.25","0.17708333333333331","false","0.48644387055125593","1.2","-0.17398533866682617","-1.8027218869921158","46"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","10","2.323529411764706","2.0833333333333335","0.12291666666666667","false","0.48309451240623824","1.1875","1.391004991430968","-0.48228887070557114","44"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","11","2.1029411764705883","3.4166666666666665","0.05125","false","0.3868770197348915","2.0125","0.020898391729878018","-0.4405970663174455","36"
"8","1.5","1","false","80","10","true","false","7","undirected","0.1","11","3.0277777777777777","2.125","0.06458333333333333","false","0.34168765262515277","0.45","1.1688083519654826","-0.3363926422695906","31"
"11","1.5","1","false","80","40","true","false","0","undirected","0.1","11","2.263888888888889","2.25","0.07875","false","0.4161523348057539","2.125","0.2434702996736144","0.21135062864815027","44"
"6","1.5","1","false","80","10","true","false","7","undirected","0.15","11","3.2058823529411766","2.8333333333333335","0.19833333333333333","false","0.41788293964845014","3.5124999999999993","-0.7469478349590872","-0.3464444271754736","55"
"9","1.5","1","false","80","10","true","false","7","undirected","0.15","11","2.8676470588235294","3.5","0.08333333333333334","false","0.40312003968253973","0.4875","0.015243873534517772","-0.27134652745758736","33"
