"BehaviorSpace results (NetLogo 6.2.2)"
"CA_5-STATES_NETWORK_CLEAN_55_PERFEITO_SAVE_Block_Arduino_25_PERFECT_DOC_BREED_aligned_BEHAVIOR_work2_SIMILARITY_SEGREGATION_CENTROIDE_work.nlogo"
"experiment_centroid"
"06/30/2022 20:22:16:617 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","radius-of-interaction","movement-steps","load-graphml","N-turtles","percentage-unhappy","clear-before-generating","arduino-on","mutated","links-to-use","frac-providers","[step]","( sum [ state ] of turtles with [ breed = clients ] ) /  (( 1 - frac-providers) * N-turtles)","( sum [ state ] of turtles with [ breed = service-providers ] ) /  ( frac-providers * N-turtles )","mean [nw:clustering-coefficient] of turtles","paths","mean [nw:closeness-centrality] of turtles","mean [nw:betweenness-centrality] of turtles","centroid-x","centroid-y"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","8","2.0789473684210527","2","0.15875","false","0.41545026084596526","1.2125","1.1906702462452752","-0.051822712591354334"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","8","2.1176470588235294","2.0833333333333335","0.15625000000000003","false","0.49459935897435886","0.325","0.6839584437509412","-0.4988029610249761"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","8","2.5921052631578947","0.5","0.09375","false","0.4177430555555556","0.275","-0.3408331249180077","-0.9783750141097872"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","8","2.1973684210526314","1.75","0.15208333333333335","false","0.4911904761904761","0.45","0.41699831537366305","1.1659314203985516"
"7","1.5","1","false","80","30","true","false","0","undirected","0.05","8","2.1052631578947367","3.5","0.19791666666666669","false","0.37809662684458206","2.7375","-0.9134048332870203","0.5208788549224722"
"4","1.5","1","false","80","20","true","false","0","undirected","0.05","8","2.276315789473684","1.25","0.11958333333333335","false","0.33293977989817575","2.65","2.0544252275548933","-2.2910686034813077"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","8","2.6470588235294117","2.5833333333333335","0.045","false","0.3828187437562438","0.525","1.9706082624497252","0.20206105785731268"
"6","1.5","1","false","80","20","true","false","0","undirected","0.15","8","1.9264705882352942","2.5833333333333335","0.14958333333333332","false","0.3826335403726709","0.675","0.5293156663993518","-1.5203892608819776"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","8","1.605263157894737","2.5","0.075","false","0.3743917112299466","0.425","-2.0396369434942065","-0.025283961633592433"
"12","1.5","1","false","80","40","true","false","0","undirected","0.15","8","1.75","3.0833333333333335","0.16958333333333334","false","0.35985119047619046","0.125","-0.9817770061373852","1.9553516869561267"
"11","1.5","1","false","80","40","true","false","0","undirected","0.05","8","1.8157894736842106","2.75","0.14416666666666667","false","0.4102777777777778","0.2","-0.5317922450009556","0.7399996971540318"
"8","1.5","1","false","80","30","true","false","0","undirected","0.05","8","2.0657894736842106","2.5","0.15833333333333333","false","0.3773462301587302","0.4125","-0.4951010992776178","0.31297671993899245"
"9","1.5","1","false","80","30","true","false","0","undirected","0.15","9","2.176470588235294","2.8333333333333335","0.1625","false","0.5000160256410255","0.35","0.7714584437509412","-0.39880296102497714"
"1","1.5","1","false","80","10","true","false","0","undirected","0.05","9","2","3","0.16499999999999998","false","0.4191420624653984","1.1625","1.228170246245275","-0.07682271259135431"
"2","1.5","1","false","80","10","true","false","0","undirected","0.05","9","2.460526315789474","1.75","0.09375","false","0.40107638888888897","0.3625","-0.3658331249180081","-0.9658750141097873"
"5","1.5","1","false","80","20","true","false","0","undirected","0.05","9","2.1315789473684212","2.25","0.15208333333333335","false","0.49119047619047623","0.45","0.4044983153736637","1.203431420398552"
"7","1.5","1","false","80","30","true","false","0","undirected","0.05","9","1.9473684210526316","4.75","0.19541666666666668","false","0.3816283728763281","2.7875","-0.9009048332870204","0.545878854922472"
"4","1.5","1","false","80","20","true","false","0","undirected","0.05","9","2.513157894736842","2","0.11958333333333333","false","0.3330755387471699","2.825","2.0794252275548937","-2.2535686034813063"
"3","1.5","1","false","80","10","true","false","0","undirected","0.15","9","2.3970588235294117","2.5833333333333335","0.14291666666666666","false","0.4158753948150233","1.0125","1.995608262449725","0.202061057857313"
"10","1.5","1","false","80","40","true","false","0","undirected","0.05","9","1.75","5.75","0.075","false","0.3743917112299465","0.425","-2.0021369434942065","0.012216038366407967"
